topic,premise,claim,mace_ibm,hidden_reasoning_keyword,claim_keyword,premise_keyword
Compulsory voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,0.045104924000000000,people choose a leader they desire,introducing compulsory voting,gets people involved in the election process.
Compulsory voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,0.045104924000000000,requires everyone go vote which means that it,compulsory voting,gets people involved
Compulsory voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,0.045104924000000000,Makes it easier for citizens to get involved in elections,Compulsory voting should be embraced,help get people involved in the election process
Compulsory voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,0.045104924000000000,maintains the democracy and helps its citizens get,Compulsory voting,involved in the election process
Compulsory voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,0.045104924000000000,a higher turnout of voters would insure integrity of elections when it,We should make voting compulsory,involves more people in the process of elections.
Zoos,"if we were aware of how much the animals that live in the zoos suffer, they simply did not exist and it was a crime",We should abolish zoos,0.114645925,make animals free in the wild,abolishing zoos,animals that live in the zoos suffer
Zoos,"if we were aware of how much the animals that live in the zoos suffer, they simply did not exist and it was a crime",We should abolish zoos,0.114645925,would stop the stealing of animals from their natural habitat,Abolishing zoos,and it was a crime.
Zoos,"if we were aware of how much the animals that live in the zoos suffer, they simply did not exist and it was a crime",We should abolish zoos,0.114645925,"where animals are often deprived a mate or breeding opportunity, making it so that",Abolish zoos,animals in zoos suffer.
Zoos,zoos take animals from their natural enviorments.,We should abolish zoos,0.063295984,enables animals to be captured in compact cages that results in,Zoos,taking animals from their natural environments.
Zoos,zoos take animals from their natural enviorments.,We should abolish zoos,0.063295984,eliminates the captivity of animals which would,abolishing zoos,take animals from their natural enviorments
Zoos,zoos take animals from their natural enviorments.,We should abolish zoos,0.063295984,stops the cruel practice of removing animals from their own social structures and,Abolishing zoos,from their natural environments
Zoos,zoos take animals from their natural enviorments.,We should abolish zoos,0.063295984,would prevent animals from not developing fully and keep their instincts fresh and active that are in danger of atrophying by,Abolishing zoos,taking animals from their natural environments
Compulsory voting,"far too few people actually vote; therefore, our government is nowhere close to representative of the views and needs of the people.",We should introduce compulsory voting,0.8198043340000000,people choose leaders they want,introducing compulsory voting,representation  of the views and needs of the people.
Compulsory voting,"far too few people actually vote; therefore, our government is nowhere close to representative of the views and needs of the people.",We should introduce compulsory voting,0.8198043340000000,Will better affect the citizens viewpoints when it comes to electing a representative for government,Compulsory voting should be embraced,government is nowhere close to representative of the views and needs of the people
Compulsory voting,"far too few people actually vote; therefore, our government is nowhere close to representative of the views and needs of the people.",We should introduce compulsory voting,0.8198043340000000,erases negative attitudes of its citizens toward voting and,Compulsory voting,our government is nowhere close to representative of the views and needs of the people
Compulsory voting,"far too few people actually vote; therefore, our government is nowhere close to representative of the views and needs of the people.",We should introduce compulsory voting,0.8198043340000000,requiring citizen participation in democracy and selections of representatives insures,Voting should be compulsory,representative views and persons needs are considered.
Compulsory voting,"far too few people actually vote; therefore, our government is nowhere close to representative of the views and needs of the people.",We should introduce compulsory voting,0.8198043340000000,will peoples political opinions known as,Introducing compulsory voting,far too few people actually vote
Whaling,whales are beautiful living creatures that have existed through time.  they should continue to prosper and ending whaling will help to increase the whale population.,We should ban whaling,0.999943736,enables protection of whales from excessive killing that can,Banning whaling,help increase the whale population.
Whaling,whales are beautiful living creatures that have existed through time.  they should continue to prosper and ending whaling will help to increase the whale population.,We should ban whaling,0.999943736,increase tourism,banning whaling,whales are beautiful living creatures that have existed through time
Whaling,whales are beautiful living creatures that have existed through time.  they should continue to prosper and ending whaling will help to increase the whale population.,We should ban whaling,0.999943736,as it is destroying the whale species in large numbers and this will,Ban whaling,help to increase the whale population
Whaling,whales are beautiful living creatures that have existed through time.  they should continue to prosper and ending whaling will help to increase the whale population.,We should ban whaling,0.999943736,will prevent damage to nature and the food chain and,Banning whaling,increase the whale population.
Whaling,we should ban whaling so that it keeps the ecosystem,We should ban whaling,0.022301426000000000,avoids excessive killing of whales  which helps,banning whaling,keep the ecosystem
Whaling,we should ban whaling so that it keeps the ecosystem,We should ban whaling,0.022301426000000000,balances the ecosytem well,banning whaling,it keeps the ecosystem safe
Whaling,we should ban whaling so that it keeps the ecosystem,We should ban whaling,0.022301426000000000,allows a natural balance of our planet and,Banning whaling,keeps the ecosystem
Whaling,we should ban whaling so that it keeps the ecosystem,We should ban whaling,0.022301426000000000,"Killing whales upsets the delicate balance of the ocean's life system and force, stopping means",Stop whaling,ecosystem of earth is maintained.
Whaling,Whaling is unsustainable with many types of whale species near extinction today.,We should ban whaling,0.99936593,enables excessive killing of whales  which causes,Whaling,extinction of whale species
Whaling,Whaling is unsustainable with many types of whale species near extinction today.,We should ban whaling,0.99936593,reduces the rate at which whales die to help prevent,banning whaling,extinction
Whaling,Whaling is unsustainable with many types of whale species near extinction today.,We should ban whaling,0.99936593,before our planet experiences negative impacts due to,Ban whaling,many types of whale species near extinction today
Whaling,Whaling is unsustainable with many types of whale species near extinction today.,We should ban whaling,0.99936593,would prevent the destruction of the ecosystem caused by,Banning whaling,many types of whale species near extinction
Whaling,Whaling is unsustainable with many types of whale species near extinction today.,We should ban whaling,0.99936593,"Whales are dwindling in number, and they are a necessary part of oceanic life, we should stop before",Whaling should be banned,Whale species are almost extinct.
Whaling,whales are magnificent creatures and wonders of the ocean. we need to protect them,We should ban whaling,0.94543055,is our human responsibility as,Banning whaling,we need to protect them
Whaling,whales are magnificent creatures and wonders of the ocean. we need to protect them,We should ban whaling,0.94543055,they are unique and beautiful and,Ban whaling,we need to protect these magnificent creatures
Whaling,whales are magnificent creatures and wonders of the ocean. we need to protect them,We should ban whaling,0.94543055,is man's duty as we are the only creatures who can,Banning whaling,protect them
Zoos,zoos are just prisons for animals so people can stare and take pictures.,We should abolish zoos,0.886596095,would stop them from entertainment profiting on these animals which are forced into confinement and are,Abolishing zoos,just prisons for animals so people can stare and take pictures.
Zoos,zoos are just prisons for animals so people can stare and take pictures.,We should abolish zoos,0.886596095,"animals are caged in zoos, unable to leave and suffer because",Abolishing zoos is needed,zoos are prisons for animals.
Zoos,zoos are just prisons for animals so people can stare and take pictures.,We should abolish zoos,0.886596095,will prevent the cruel subjugation of nature as they,Abolishing zoos,are just prisons for animals
Zoos,we should abolish zoos because animals shouldn't be taken from their natural habitat and kept in cages,We should abolish zoos,0.55336036,reduces productivity of an animal,abolishing zoos,animals shouldn't be taken from their natural habitat and kept in cages
Zoos,we should abolish zoos because animals shouldn't be taken from their natural habitat and kept in cages,We should abolish zoos,0.55336036,would stop zoos from using animals for unnecessary human entertainment and,Abolishing zoos,animals shouldn't be taken from their natural habitat and kept in cages
Zoos,we should abolish zoos because animals shouldn't be taken from their natural habitat and kept in cages,We should abolish zoos,0.55336036,would prevent the stress and reduction in animal instincts that happens when animals are,Abolishing zoos,taken from their natural habitat
Zoos,we should abolish zoos because animals shouldn't be taken from their natural habitat and kept in cages,We should abolish zoos,0.55336036,"because animals are kept in tight quarters, sometimes having to drink contaminated water meaning that zoos mean",Abolishment of zoos is needed,animals can't live in their natural habitat.
Compulsory voting,making this a law would provide a greater stability of our government,We should introduce compulsory voting,0.158612176,creates a stronger government,introducing compulsory voting,making this a law would provide a greater stability of our government
Compulsory voting,making this a law would provide a greater stability of our government,We should introduce compulsory voting,0.158612176,increases the popular vote for candidates and provides the,Compulsory voting,stability of our government
Compulsory voting,making this a law would provide a greater stability of our government,We should introduce compulsory voting,0.158612176,protests would be more rare because support for those elected and for policies in place would be more wide making,Voting should be made compulsory,government more stable.
Compulsory voting,making this a law would provide a greater stability of our government,We should introduce compulsory voting,0.158612176,will force people to vote and will pass legislation faster which will improve the,Introducing compulsory voting,stability of our government
Whaling,"not only is whaling cruel, it unbalances ecosystems and is terrible for the environment.",We should ban whaling,0.999478255,will stop the depletion of the whale population and thus help reduce the force that,banning whaling,unbalances ecosystems
Whaling,"not only is whaling cruel, it unbalances ecosystems and is terrible for the environment.",We should ban whaling,0.999478255,eliminates an important part of the ecosystem,banning whaling,it unbalances ecosystems and is terrible for the environment.
Whaling,"not only is whaling cruel, it unbalances ecosystems and is terrible for the environment.",We should ban whaling,0.999478255,as depletion of whales is,Ban whaling,terrible for the environment
Whaling,"not only is whaling cruel, it unbalances ecosystems and is terrible for the environment.",We should ban whaling,0.999478255,Oceans and the earth only works when things are balanced and eliminating whales causes,We should stop whaling,earth's ecosystems become unbalanced
Compulsory voting,we should introduce compulsory voting as everyone should have a say in who is voted into offices.,We should introduce compulsory voting,0.08704396200000000,ensures mandatory voting by all people to choose their favorite candidate which results in,Compulsory voting,everyone having a say in who is voted into offices.
Compulsory voting,we should introduce compulsory voting as everyone should have a say in who is voted into offices.,We should introduce compulsory voting,0.08704396200000000,will make people express their political views through voting and engage in the process of,compulsory voting,who is voted into offices.
Compulsory voting,we should introduce compulsory voting as everyone should have a say in who is voted into offices.,We should introduce compulsory voting,0.08704396200000000,to get credible leaders,introducing compulsory voting,for everyone to have a say in who is voted into offices.
Compulsory voting,we should introduce compulsory voting as everyone should have a say in who is voted into offices.,We should introduce compulsory voting,0.08704396200000000,is a right that all citizens should have without apprehension and gives,Compulsory voting,a say in who is voted into offices
Compulsory voting,we should introduce compulsory voting as everyone should have a say in who is voted into offices.,We should introduce compulsory voting,0.08704396200000000,will make sure no one gets upset at results when people are,Introducing compulsory voting,voted into offices
Compulsory voting,the best way to make sure that the voting process works is to ensure that everyone does their share and votes.  we have the right to choose or leaders and wasting that should not be allowed.,We should introduce compulsory voting,0.223073851,enables every citizen to become involved and,Compulsory voting,we have the right to choose our leaders and wasting that should not be allowed
Compulsory voting,the best way to make sure that the voting process works is to ensure that everyone does their share and votes.  we have the right to choose or leaders and wasting that should not be allowed.,We should introduce compulsory voting,0.223073851,"stops those who want to deny the vote to minorities, persons with disabilities and poor people thereby",Making voting a compulsory responsibility,ensuring the voting process works.
Compulsory voting,the best way to make sure that the voting process works is to ensure that everyone does their share and votes.  we have the right to choose or leaders and wasting that should not be allowed.,We should introduce compulsory voting,0.223073851,will make people more engaged in politics and,Introducing compulsory voting,wasting that should not be allowed.
Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,0.8741590370000000,will prevent animals from being caught and transported to caged zoos where they are,abolishing zoos,malnourished and mistreated.
Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,0.8741590370000000,avoid mistreating animals,abolishing zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.
Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,0.8741590370000000,eliminates environments where zookeepers can potentially,abolishing zoos,mistreat animals
Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,0.8741590370000000,"Animals can't hunt for their food, or get a truly balanced diet so",Zoos must be abolished,animals are malnourished in zoos.
Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,0.8741590370000000,will allow animals to live free and healthy as zoos let animals be,Abolishing zoos,mistreated
Compulsory voting,"compulsory voting would be beneficial because more people would take an interest in politics, creating a more fair representation in government.",We should introduce compulsory voting,0.855378905,"will make people show up and express their views through voting, which will create",compulsory voting,a more fair representation in government.
Compulsory voting,"compulsory voting would be beneficial because more people would take an interest in politics, creating a more fair representation in government.",We should introduce compulsory voting,0.855378905,gives people a government of their choice,introducing compulsory voting,"would be beneficial because more people would take an interest in politics, creating a more fair representation in government."
Compulsory voting,"compulsory voting would be beneficial because more people would take an interest in politics, creating a more fair representation in government.",We should introduce compulsory voting,0.855378905,stops voter fraud and gives its citizens,Compulsory voting,fair representation in government
Compulsory voting,"compulsory voting would be beneficial because more people would take an interest in politics, creating a more fair representation in government.",We should introduce compulsory voting,0.855378905,elected bodies like congress are voted in by larger number therefore,Persons should be compelled by law to vote,government representation is widened.
Whaling,"many whales are endangered and incredibly intelligent animals, slaughtering them and often in such wasteful ways is immoral and cruel",We should ban whaling,0.906988216,because whales are necessary animals for healthy oceans and whaling,Ban whaling,is immoral and cruel
Whaling,"many whales are endangered and incredibly intelligent animals, slaughtering them and often in such wasteful ways is immoral and cruel",We should ban whaling,0.906988216,"as killing whales causes suffering, which is sinful and against biblical mandates for taking care of the earth meaning",Whaling should stop,killing the few remaining whales is immoral.
Zoos,zoos are holding animals in captivity that should be free and making a profit.,We should abolish zoos,0.090942878,gives animals freedom of movement,abolishing zoos,zoos are holding animals in captivity that should be free and making a profit.
Zoos,zoos are holding animals in captivity that should be free and making a profit.,We should abolish zoos,0.090942878,lets these animals enjoy freedom of movement instead of being held for economic gains while,Abolishing zoos,in captivity that should be free and making a profit
Zoos,zoos are holding animals in captivity that should be free and making a profit.,We should abolish zoos,0.090942878,"holding animals is immoral, they have a right to breed freely and graze and live in the wild where",zoos should be abolished,animals should be free.
Zoos,zoos are holding animals in captivity that should be free and making a profit.,We should abolish zoos,0.090942878,will end the entertainment use of animals by,Abolishing zoos,holding animals in captivity
Zoos,zoos are just a spectacle of cruelty to captive animals.,We should abolish zoos,0.580029204,There is nothing good to come from zoos and they are there just for our entertainment,Abolishment of zoos,just a spectacle of cruelty to captive animals
Zoos,zoos are just a spectacle of cruelty to captive animals.,We should abolish zoos,0.580029204,restores respect back to these animals and stops,Abolishing zoos,cruelty to captive animals
Zoos,zoos are just a spectacle of cruelty to captive animals.,We should abolish zoos,0.580029204,"persons attending zoos see something barbaric, causing stress to young people who see",Zoos should be abolished,a cruel spectacle.
Compulsory voting,everyone should take part in voting and making choices for our country.,We should introduce compulsory voting,0.203195665,will make people express their political positions through voting and thus engage them with,compulsory voting,making choices for our country.
Compulsory voting,everyone should take part in voting and making choices for our country.,We should introduce compulsory voting,0.203195665,is necessary for all voices to be heard for the benefit,Compulsory voting,of our country
Compulsory voting,everyone should take part in voting and making choices for our country.,We should introduce compulsory voting,0.203195665,Because in addition to this giving a wider range of voter types and ages,Compulsory voting should be introduced,Everyone should take part in making choices
Compulsory voting,everyone should take part in voting and making choices for our country.,We should introduce compulsory voting,0.203195665,will make legislation move faster and will help define the,Introducing compulsory voting,choices for our country
Zoos,"zoos are prisons for animals, they should be in their natural habitat not enclosed between bars",We should abolish zoos,0.97631033,will prevent capture of wild animals and their transfer to caged zoos which are,abolishing zoos,prisons for animals
Zoos,"zoos are prisons for animals, they should be in their natural habitat not enclosed between bars",We should abolish zoos,0.97631033,as animal welfare is dependent on living naturally in their own wild habitat and,Abolish zoos,not enclosed between bars
Zoos,"zoos are prisons for animals, they should be in their natural habitat not enclosed between bars",We should abolish zoos,0.97631033,Because zoos rob them of their independence and natural tendencies in the wild and therefore,Zoos should be abolished,Animals should not be kept behind bars
Zoos,"zoos are prisons for animals, they should be in their natural habitat not enclosed between bars",We should abolish zoos,0.97631033,"animals develop worms, intestinal problems when tightly",Abolish zoos,enclosed between bars.
Zoos,zoos should be abolished because the lives of the animals come secondary to the lives of people,We should abolish zoos,0.629285357,causes animals to be captured in compact cages to entertain people which results in,Zoos,the lives of the animals coming secondary to the lives of people
Zoos,zoos should be abolished because the lives of the animals come secondary to the lives of people,We should abolish zoos,0.629285357,will balance the rights of animals as at the present time,Abolishing zoos,the lives of the animals come secondary to the lives of people
Zoos,zoos should be abolished because the lives of the animals come secondary to the lives of people,We should abolish zoos,0.629285357,would prevent the poor conditions and increase in disease since the,Abolishing zoos,lives of the animals come secondary to the lives of the people
Compulsory voting,Compulsory voting would make it certain that everyone would vote in every election.,We should introduce compulsory voting,0.009370663,requires every citizen to take part which means,compulsory voting,everyone would vote
Compulsory voting,Compulsory voting would make it certain that everyone would vote in every election.,We should introduce compulsory voting,0.009370663,empowers communities and insures that,Compulsory voting,everyone would have a vote in every election
Compulsory voting,Compulsory voting would make it certain that everyone would vote in every election.,We should introduce compulsory voting,0.009370663,"when compulsory, things like voter restrictions, defacto Jim Crow laws, poll taxes and other barbaric practices stop and",Voting should be compelled by law,everyone can vote.
Whaling,whaling is a barbaric practice that destroys majestic animals,We should ban whaling,0.8086755410000000,prevents reckless kills whales,banning whaling,is a barbaric practice that destroys majestic animals
Whaling,whaling is a barbaric practice that destroys majestic animals,We should ban whaling,0.8086755410000000,that prevents new whale species from occurring because whaling,Ban whaling,destroys majestic animals
Whaling,whaling is a barbaric practice that destroys majestic animals,We should ban whaling,0.8086755410000000,The way they are killed causes great suffering,Whaling should be banned,It destroys animals
Whaling,whaling is a barbaric practice that destroys majestic animals,We should ban whaling,0.8086755410000000,"it necessitates harpooning, causing large majestic animals to bleed out making",Whaling should stop,Whaling too barbaric.
Compulsory voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,0.577304547,enables all citizens to vote and can be used as,Compulsory voting,a census to count people
Compulsory voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,0.577304547,It involves citizens in the political process as well as it,Compulsory voting should be introduced,Could be used as a census
Compulsory voting,"everyone should vote, and the only way to ensure that happens is by instituting compulsory voting.",We should introduce compulsory voting,0.151626709,ensures mandatory voting by all people to voice their opinions which results in,Compulsory voting,voting by everyone
Compulsory voting,"everyone should vote, and the only way to ensure that happens is by instituting compulsory voting.",We should introduce compulsory voting,0.151626709,will represent the majority of citizens votes for the best candidates who will listen and act on behalf of the voters and,Compulsory voting,to ensure that happens is by instituting compulsory voting.
Compulsory voting,compulsory voting improves voting turnaround.,We should introduce compulsory voting,0.873023854,gives people a chance to vote,introducing compulsory voting,voting improves voter turnaround.
Compulsory voting,compulsory voting improves voting turnaround.,We should introduce compulsory voting,0.873023854,will support the ideas of its citizens with their elected officials and,Compulsory voting,improves voting turnaround
Whaling,whaling endangers various species of whales and could upset the balance of the ecosystem if it is allowed to continue.,We should ban whaling,0.917739381,enables excessive killing of whales which,Whaling,endangers various species of whales
Whaling,whaling endangers various species of whales and could upset the balance of the ecosystem if it is allowed to continue.,We should ban whaling,0.917739381,to preserve whales,banning whaling,endangers various species of whales and could upset the balance of the ecosystem if it is allowed to continue
Whaling,whaling endangers various species of whales and could upset the balance of the ecosystem if it is allowed to continue.,We should ban whaling,0.917739381,as it is destroying whale species who are valuable to our planet,Ban whaling,and could upset the balance of the ecosystem if it is allowed to continue
Whaling,whaling endangers various species of whales and could upset the balance of the ecosystem if it is allowed to continue.,We should ban whaling,0.917739381,removing largest element in an ecosystem can negatively affect the ocean then,Whaling should stop,ecosystem can be thrown out of balance.
Whaling,whaling endangers various species of whales and could upset the balance of the ecosystem if it is allowed to continue.,We should ban whaling,0.917739381,will ensure this barbaric practice stops and will restore,Banning whaling,balance of the ecosystem
Whaling,whales are necessary for ecological sustainability of the oceans,We should ban whaling,0.904472413,enables protection of whales from excessive killing that helps,Banning whaling,ecological sustainability of the oceans
Whaling,whales are necessary for ecological sustainability of the oceans,We should ban whaling,0.904472413,balances the ecosystem,banning whaling,for ecological sustainability of the oceans
Whaling,whales are necessary for ecological sustainability of the oceans,We should ban whaling,0.904472413,as it disrupts the delicate ecosystem,Ban whaling,for ecological sustainability of the oceans
Whaling,whales are necessary for ecological sustainability of the oceans,We should ban whaling,0.904472413,"whales help keep the eco balance of the ocean, eating certain creatures and providing food and natural for processes thereby",Whaling should be halted,whales help the ecology of oceans.
Zoos,zoos are confined spaces for animals that require a larger area,We should abolish zoos,0.886791415,causes animals to be captured in compact cages that results in,Zoos,animals being confined in small spaces
Zoos,zoos are confined spaces for animals that require a larger area,We should abolish zoos,0.886791415,Animals are not meant to be kept in confined areas,Abolishment of zoos,confined spaces for animals that require a larger area
Zoos,zoos are confined spaces for animals that require a larger area,We should abolish zoos,0.886791415,enables a healthier state for these animals as caging is damaging not only their physical health but also their mental health as,Abolishing zoos,animals require a larger area
Zoos,zoos are confined spaces for animals that require a larger area,We should abolish zoos,0.886791415,cramped cages are just wrong,Abolish zoos,zoos don't have enough room for animals.
Zoos,zoos are confined spaces for animals that require a larger area,We should abolish zoos,0.886791415,will allow animals to do their natural duty which,Abolishing zoos,requires a larger area
Compulsory voting,we should do because then it will be more fair when the results come in because everyone has had their say.,We should introduce compulsory voting,0.01937752,ensures mandatory voting by all people to voice their opinions which results in,Compulsory voting,everyone having had their say.
Compulsory voting,we should do because then it will be more fair when the results come in because everyone has had their say.,We should introduce compulsory voting,0.01937752,Because having more people participate in the process  provides viewpoints from all types of people and,Compulsory voting should be introduced,It ensures that everyone has their say.
Compulsory voting,we should do because then it will be more fair when the results come in because everyone has had their say.,We should introduce compulsory voting,0.01937752,"when vote totals are higher, vote miscounts are less statistically problematic",We should require compulsory voting,More total votes mean more fairness.
Zoos,"zoos are an unnatural stressful environment for animals. no animal should have to live in a cage or enclosure just for the entertainment of people, it is cruel and unnecessary.",We should abolish zoos,0.871289153,stops the caging of animals to end,abolishing zoos,stress for animals
Zoos,"zoos are an unnatural stressful environment for animals. no animal should have to live in a cage or enclosure just for the entertainment of people, it is cruel and unnecessary.",We should abolish zoos,0.871289153,teaches humans to respect these animals and shows us how,Abolishing zoos,it is cruel and unnecessary
Zoos,"zoos are an unnatural stressful environment for animals. no animal should have to live in a cage or enclosure just for the entertainment of people, it is cruel and unnecessary.",We should abolish zoos,0.871289153,caging damages the instincts of animals and need for freedom while,zoos should be abolished,it makes animals stressed from being in cages.
Zoos,"zoos are an unnatural stressful environment for animals. no animal should have to live in a cage or enclosure just for the entertainment of people, it is cruel and unnecessary.",We should abolish zoos,0.871289153,will allow animals to live as they should as zoos are,Abolishing zoos,cruel and unnecessary
Whaling,"whales are in danger of becoming extinct, there is already too much pressure on the species from environment changes, whaling must be banned to preserve these animals.",We should ban whaling,0.976145889,will stop killing of whales in the wild which will help since,Banning whaling,whales are in danger of becoming extinct
Whaling,"whales are in danger of becoming extinct, there is already too much pressure on the species from environment changes, whaling must be banned to preserve these animals.",We should ban whaling,0.976145889,protects our ecosystem,banning whaling,"danger of becoming extinct, there is already too much pressure on the species from environment changes"
Whaling,"whales are in danger of becoming extinct, there is already too much pressure on the species from environment changes, whaling must be banned to preserve these animals.",We should ban whaling,0.976145889,"slows down the reduction of the population of whales, thus fostering",banning whaling,preservation against extinction
Whaling,"whales are in danger of becoming extinct, there is already too much pressure on the species from environment changes, whaling must be banned to preserve these animals.",We should ban whaling,0.976145889,"as it is unnecessary, cruel treatment and",Ban whaling,whaling must be banned to preserve these animals.
Whaling,"whales are in danger of becoming extinct, there is already too much pressure on the species from environment changes, whaling must be banned to preserve these animals.",We should ban whaling,0.976145889,killing remaining whales will cause extinction from animals suffering from climate change and,Whaling should stop,global warming has reduced whales chances.
Whaling,whales are endangered species and should be protected,We should ban whaling,0.952033265,avoids excessive killing of whales  which helps,Banning whaling,protection of endangered whales
Whaling,whales are endangered species and should be protected,We should ban whaling,0.952033265,because whaling practices has had the largest impact on killing whales making them an,Ban whaling,endangered species and should be protected
Whaling,whales are endangered species and should be protected,We should ban whaling,0.952033265,"it's likely the few remaining whales deaths could cause unseen disaster, such as adjacent species dieoff, therefore",Whaling should stop,Whales should be protected.
Whaling,whaling is an inhumane and unnecessary practice that must not be tolerated.,We should ban whaling,0.482945003,decreases the need to use whales for our own good which is,Ban whaling,inhumane and unnecessary
Whaling,whaling is an inhumane and unnecessary practice that must not be tolerated.,We should ban whaling,0.482945003,There are no good morals that justify hunting of whales,Banning of whaling,inhumane and unnecessary
Whaling,whaling is an inhumane and unnecessary practice that must not be tolerated.,We should ban whaling,0.482945003,Whales are chased and harpooned in a way that means,Whaling should be banned,killing whales is inhumane.
Zoos,zoos are an outdated concept and purely for the entertainment of public under the guise of animal conservation.,We should abolish zoos,0.984925442,stops the cruel practice of putting animals in small unnatural environments under the,Abolishing zoos,guise of animal conservation
Zoos,zoos are an outdated concept and purely for the entertainment of public under the guise of animal conservation.,We should abolish zoos,0.984925442,would prevent animal exploitation,Abolishing zoos,purely for the entertainment of public
Zoos,zoo's are horrid places that keep animals in tiny cages and then charges the public high prices to see them.,We should abolish zoos,0.51635505,make money by selling admission tickets to visitors which results in,Zoos,charging the public high prices to see animals
Zoos,zoo's are horrid places that keep animals in tiny cages and then charges the public high prices to see them.,We should abolish zoos,0.51635505,give animal freedom,abolishing zoos,zoos are horrible places that keep animals in tiny cages and then charges the public high prices to see them
Zoos,zoo's are horrid places that keep animals in tiny cages and then charges the public high prices to see them.,We should abolish zoos,0.51635505,frees the animals to live in their natural habitat instead of,Abolishing zoos,charging the public high prices to see them
Zoos,zoo's are horrid places that keep animals in tiny cages and then charges the public high prices to see them.,We should abolish zoos,0.51635505,animals spread disease among themselves which is unnaturally done because of,Abolish zoos,tiny cages
Zoos,zoo's are horrid places that keep animals in tiny cages and then charges the public high prices to see them.,We should abolish zoos,0.51635505,will ensure that animals will contribute to nature which zoos prevent by,Abolishing zoos,keeping animals in tiny cages
Zoos,zoos are places where they physically abuse animals and it is our duty to protect them,We should abolish zoos,0.6903541,prevents them from being stored in tiny enclosures which,abolish zoos,physically abuse animals
Zoos,zoos are places where they physically abuse animals and it is our duty to protect them,We should abolish zoos,0.6903541,stops the human cruelty of animals and,Abolishing zoos,it is our duty to protect them
Zoos,zoos are places where they physically abuse animals and it is our duty to protect them,We should abolish zoos,0.6903541,animals are harmed by zookeepers,abolish zoos,duty to protect abused animals
Zoos,zoos are places where they physically abuse animals and it is our duty to protect them,We should abolish zoos,0.6903541,animals are held at the mercy of sometimes abusive and neglectful staff who are underpaid leading to,Abolishing zoos is good,animals get physically abused there.
Zoos,we should abolish zoos as it is unfair to cage up an animal in small spaces just so people can gawk at them.,We should abolish zoos,0.927781996,stops unnatural public displays of these animals so that,Abolishing zoos,people can gawk at them
Zoos,we should abolish zoos as it is unfair to cage up an animal in small spaces just so people can gawk at them.,We should abolish zoos,0.927781996,Animals need space to roam and hunt as is their natural instinct,Zoos should be abolished,We shouldn’t keep animals in small spaces.
Zoos,we should abolish zoos as it is unfair to cage up an animal in small spaces just so people can gawk at them.,We should abolish zoos,0.927781996,will allow animals to have the dignity they deserve and remove them from cages so,Abolishing zoos,so people can gawk at them
Zoos,zoos should be abolished its unnatural to keep animals caged up and restricted they should be left in their natural habitats,We should abolish zoos,0.924147399,gives these animals the chance for better health and longevity,Abolishing zoos,in their natural habitats
Zoos,zoos should be abolished its unnatural to keep animals caged up and restricted they should be left in their natural habitats,We should abolish zoos,0.924147399,Because animals are altered by being locked up in cages and have trouble reproducing and,Zoos should be abolished,Animals should be left in their natural habitat
Zoos,zoos should be abolished its unnatural to keep animals caged up and restricted they should be left in their natural habitats,We should abolish zoos,0.924147399,would stop animals being captured for zoos which would result in,Abolishing zoos,animals being left in their natural habitats.
Zoos,zoos should be abolished its unnatural to keep animals caged up and restricted they should be left in their natural habitats,We should abolish zoos,0.924147399,"where animals often fight, killing each other, when mentally stressed while",Abolish zoos,unnaturally caged.
Whaling,we should ban whaling because sometimes people kill too many whales just for the fun of it,We should ban whaling,0.538581241,deprives tourist resource,banning whaling,people kill too many whales just for the fun of it
Whaling,we should ban whaling because sometimes people kill too many whales just for the fun of it,We should ban whaling,0.538581241,prevents immoral fishermen that like to,Ban whaling,kill whales for the fun of it
Whaling,we should ban whaling because sometimes people kill too many whales just for the fun of it,We should ban whaling,0.538581241,as its wastefulness of this species is unnecessary and,Ban whaling,people kill too many whales just for the fun of it
Whaling,we should ban whaling because sometimes people kill too many whales just for the fun of it,We should ban whaling,0.538581241,will help the whale population as some people,Banning whaling,kill too many whales
Zoos,zoos are stressful to the animals who have been taken away from their natural habitats and forced to limit their natural instincts.,We should abolish zoos,0.98047404,enables animals to be captured in compact cages that results in,Zoos,animals being taken away from their natural habitats
Zoos,zoos are stressful to the animals who have been taken away from their natural habitats and forced to limit their natural instincts.,We should abolish zoos,0.98047404,"as the animals become too dependent on humans, whereas, they cannot use their full innate abilities",Abolish zoos,and forced to limit their natural instincts.
